season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-08-18,745139,ML,HOME,St. Louis Cardinals,Los Angeles Dodgers,2024-08-18 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-08-18,744975,ML,HOME,Texas Rangers,Minnesota Twins,2024-08-18 12:00:00+00:00,HistoricalBasic,104.0,104.0,104.0
2024,2024-08-21,747084,ML,AWAY,Atlanta Braves,Philadelphia Phillies,2024-08-21 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-08-24,746996,ML,HOME,Baltimore Orioles,Houston Astros,2024-08-24 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2024,2024-08-27,745946,ML,HOME,Milwaukee Brewers,San Francisco Giants,2024-08-27 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2024,2024-08-31,744808,ML,HOME,Washington Nationals,Chicago Cubs,2024-08-31 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-09-03,746834,ML,AWAY,Chicago Cubs,Pittsburgh Pirates,2024-09-03 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-09-04,745938,ML,HOME,Milwaukee Brewers,St. Louis Cardinals,2024-09-04 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2024,2024-09-04,745776,ML,HOME,New York Mets,Boston Red Sox,2024-09-04 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2024,2024-09-06,745131,ML,AWAY,St. Louis Cardinals,Seattle Mariners,2024-09-06 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-09-16,745939,ML,HOME,Milwaukee Brewers,Philadelphia Phillies,2024-09-16 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2024,2024-09-20,745934,ML,AWAY,Milwaukee Brewers,Arizona Diamondbacks,2024-09-20 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-09-21,744958,ML,AWAY,Texas Rangers,Seattle Mariners,2024-09-21 12:00:00+00:00,HistoricalBasic,120.0,120.0,120.0
2024,2024-09-22,746657,ML,HOME,Cincinnati Reds,Pittsburgh Pirates,2024-09-22 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-09-22,745118,ML,HOME,St. Louis Cardinals,Cleveland Guardians,2024-09-22 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2024,2024-09-23,744885,ML,AWAY,Toronto Blue Jays,Boston Red Sox,2024-09-23 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-09-24,745526,ML,HOME,Philadelphia Phillies,Chicago Cubs,2024-09-24 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2024,2024-09-25,746331,ML,AWAY,Houston Astros,Seattle Mariners,2024-09-25 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-09-25,745607,ML,HOME,Oakland Athletics,Texas Rangers,2024-09-25 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-09-26,746088,ML,AWAY,Los Angeles Dodgers,San Diego Padres,2024-09-26 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2024,2024-09-28,745931,ML,AWAY,Milwaukee Brewers,New York Mets,2024-09-28 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
